iter	RMSE
953	41586.86343
954	41586.15251
955	41582.63439
956	41573.5134
957	41571.09436
958	41570.29024
959	41568.81897
960	41565.86835
961	41563.65208
962	41559.03201
963	41557.31985
964	41555.4848
965	41548.63629
966	41542.92317
967	41530.48604
968	41526.19057
969	41524.76836
970	41522.41427
971	41522.00808
972	41521.07701
973	41519.46612
974	41516.64352
975	41516.04502
976	41512.27441
977	41511.08953
978	41509.36934
979	41501.96102
980	41499.01953
981	41496.52574
982	41487.29275
983	41486.48443
984	41477.03842
985	41473.85408
986	41469.70874
987	41465.18865
988	41457.65661
989	41451.07275
990	41448.17204
991	41436.06561
992	41434.1256
993	41430.27692
994	41415.93163
995	41412.02482
996	41404.01905
997	41401.20587
998	41399.64377
999	41394.48757
1000	41380.90593
1001	41379.43723
1002	41376.70768
1003	41373.45019
1004	41370.39106
1005	41368.22644
1006	41366.04866
1007	41364.4619
1008	41361.91909
1009	41352.09011
1010	41341.87008
1011	41337.10218
1012	41334.59968
1013	41324.48939
1014	41321.80788
1015	41315.45486
1016	41311.75348
1017	41307.40107
1018	41296.01712
1019	41290.33972
1020	41288.82518
1021	41288.05081
1022	41286.0135
1023	41274.36318
1024	41263.21252
1025	41256.76456
1026	41255.45441
1027	41252.42097
1028	41245.03153
1029	41241.27923
1030	41240.05619
1031	41231.51566
1032	41228.56042
1033	41225.98022
1034	41224.59583
1035	41220.76453
1036	41217.89925
1037	41215.77661
1038	41210.95765
1039	41198.27599
1040	41192.65269
1041	41189.39658
1042	41185.38299
1043	41184.49296
1044	41182.06744
1045	41168.04312
1046	41163.83321
1047	41160.94512
1048	41159.67703
1049	41156.99451
1050	41155.7554
1051	41154.43564
1052	41149.14796
1053	41139.28011
1054	41136.45105
1055	41131.24109
1056	41128.44539
1057	41121.31369
1058	41117.95063
1059	41110.42312
1060	41109.91538
1061	41101.48568
1062	41098.76256
1063	41091.49373
1064	41087.45956
1065	41082.08201
1066	41071.94405
1067	41065.13
1068	41059.63004
1069	41057.0607
1070	41056.10253
1071	41054.65028
1072	41052.16747
1073	41049.64972
1074	41044.49393
1075	41037.30605
1076	41031.74836
1077	41027.37284
1078	41020.08005
1079	41017.34877
1080	41016.21698
1081	41007.14404
1082	41002.9463
1083	41002.63163
1084	40993.60844
1085	40987.47456
1086	40977.17366
1087	40966.47599
1088	40959.2258
1089	40951.42537
1090	40945.73356
1091	40938.38967
1092	40934.55218
1093	40931.31582
1094	40925.10713
1095	40911.51037
1096	40900.72782
1097	40897.24654
1098	40896.97037
1099	40895.65125
1100	40889.0275
1101	40884.94183
1102	40881.7924
1103	40868.15792
1104	40862.24196
1105	40856.36213
1106	40853.03363
1107	40851.24024
1108	40850.47958
1109	40845.61364
1110	40844.77542
1111	40841.25468
1112	40832.23963
1113	40827.68805
1114	40827.14604
1115	40811.25266
1116	40810.1073
1117	40799.77312
1118	40797.27942
1119	40793.50981
1120	40784.43617
1121	40776.88852
1122	40772.67307
1123	40771.05891
1124	40765.66916
1125	40759.34781
1126	40755.62746
1127	40750.85537
1128	40748.7396
1129	40747.28627
1130	40746.67835
1131	40742.19057
1132	40738.38037
1133	40735.8997
1134	40732.79465
1135	40730.5524
1136	40729.19876
1137	40724.77893
1138	40721.5858
1139	40717.53084
1140	40715.22272
1141	40707.10067
1142	40704.75104
1143	40702.88901
1144	40696.49499
1145	40688.62018
1146	40684.59293
1147	40682.83821
1148	40677.82031
1149	40674.37485
1150	40670.12155
1151	40666.21067
1152	40661.60347
1153	40656.78088
1154	40656.0781
1155	40654.37884
1156	40638.06746
1157	40634.95762
1158	40628.11161
1159	40622.81548
1160	40622.17202
1161	40617.9246
1162	40616.06158
1163	40613.65172
1164	40611.17352
1165	40609.55673
1166	40608.56064
1167	40601.55579
1168	40598.13529
1169	40595.62666
1170	40593.1882
1171	40589.05391
1172	40587.99977
1173	40581.36934
1174	40579.34098
1175	40575.56294
1176	40567.14234
1177	40564.1234
1178	40563.43884
1179	40559.43525
1180	40557.43533
1181	40553.24489
1182	40549.02783
1183	40547.73297
1184	40545.84993
1185	40533.20671
1186	40531.81387
1187	40528.94443
1188	40527.80613
1189	40522.93428
1190	40522.64361
1191	40520.32337
1192	40515.85777
1193	40514.49907
1194	40509.84143
1195	40506.38037
1196	40504.43423
1197	40500.71387
1198	40493.75175
1199	40490.33154
1200	40488.3641
1201	40486.43903
1202	40475.69254
1203	40468.13589
1204	40458.5262
1205	40457.39932
1206	40454.14973
1207	40449.22485
1208	40445.33863
1209	40438.70705
1210	40436.29287
1211	40435.96333
1212	40431.86193
1213	40425.95026
1214	40422.02577
1215	40411.42196
1216	40409.94357
1217	40405.97735
1218	40397.75981
1219	40393.38954
1220	40392.64042
1221	40381.8356
1222	40379.65174
1223	40375.9834
1224	40373.54921
1225	40368.6516
1226	40367.32963
1227	40363.55169
1228	40360.86631
1229	40349.80588
1230	40347.04094
1231	40346.22909
1232	40339.27817
1233	40333.22028
1234	40324.04569
1235	40321.7835
1236	40318.25356
1237	40313.28008
1238	40311.51721
1239	40306.65236
1240	40301.42979
1241	40299.44036
1242	40293.73356
1243	40287.27691
1244	40284.45398
1245	40280.65304
1246	40271.64394
1247	40268.46355
1248	40265.4145
1249	40263.45148
1250	40257.08712
1251	40252.23969
1252	40249.91935
1253	40248.95333
1254	40246.38456
1255	40240.19573
1256	40238.0393
1257	40232.38271
1258	40229.76691
1259	40220.21817
1260	40218.71922
1261	40212.51555
1262	40210.24519
1263	40205.9121
1264	40203.18084
1265	40194.63807
1266	40192.50479
1267	40188.46343
1268	40187.76411
1269	40186.03954
1270	40174.8951
1271	40173.70995
1272	40166.81504
1273	40165.3758
1274	40158.5083
1275	40145.09898
1276	40140.3508
1277	40137.0048
1278	40134.75066
1279	40127.07261
1280	40125.956
1281	40124.09177
1282	40118.42785
1283	40113.8217
1284	40113.1111
1285	40106.71906
1286	40106.31555
1287	40098.34298
1288	40092.34745
1289	40086.21319
1290	40083.56933
1291	40080.81918
1292	40078.68024
1293	40076.18719
1294	40075.09567
1295	40069.25421
1296	40065.4669
